id,cem011_prgrm,cem301_attendees_total,month,year,cem009_country
,1AF,18,6,2013,1
,1AF,29,6,2013,1
,1AF,19,6,2013,1
,1AF,31,6,2013,1
,1AF,27,6,2013,1
,1AF,25,7,2013,1
,1AF,18,12,2011,1
,1AF,20,12,2011,1
,1AF,51,12,2011,1
,1AF,24,12,2011,1
,1AF,28,11,2011,1
,1AF,22,12,2011,1
,1AF,22,11,2011,1
,KKM2,25,12,2011,1
,1AF,23,11,2011,1
,1AF,27,11,2011,1
,1AF,20,5,2013,1
,1AF,14,11,2011,1
,1AF,27,11,2011,1
,1AF,48,5,2013,1
,1AF,36,5,2013,1
,1AF,21,5,2013,1
,1AF,31,5,2013,1
,1AF,15,12,2011,1
,1AF,17,5,2013,1
,1AF,22,5,2013,1
,1AF,22,5,2013,1
,1AF,25,5,2013,1
,1AF,21,5,2013,1
,1AF,16,11,2011,1
,1AF,46,5,2013,1
,1AF,19,11,2011,1
,1AF,30,5,2013,1
,1AF,18,5,2013,1
,1AF,24,5,2013,1
,1AF,20,11,2011,1
,1AF,26,5,2013,1
,1AF,16,11,2011,1
,1AF,16,5,2013,1
,1AF,32,5,2013,1
,1AF,41,5,2013,1
,1AF,31,5,2013,1
,1AF,32,11,2011,1
,1AF,24,5,2013,1
,1AF,28,12,2011,1
,1AF,25,5,2013,1
,1AF,31,5,2013,1
,1AF,27,5,2013,1
,1AF,17,5,2013,1
,1AF,21,5,2013,1
,1AF,26,5,2013,1
,1AF,23,7,2013,1
,1AF,26,5,2013,1
,1AF,19,5,2013,1
,1AF,26,10,2011,1
,1AF,23,5,2013,1
,1AF,22,5,2013,1
,1AF,20,5,2013,1
,1AF,24,5,2013,1
,1AF,28,5,2013,1
,1AF,18,5,2013,1
,1AF,24,5,2013,1
,1AF,33,5,2013,1
,1AF,17,5,2013,1
,1AF,32,5,2013,1
,1AF,26,5,2013,1
,1AF,31,5,2013,1
,1AF,20,5,2013,1
,1AF,20,11,2011,1
,1AF,26,11,2011,1
,KKM2,26,11,2011,1
,KKM2,20,11,2011,1
,KKM2,21,11,2011,1
,KKM2,28,5,2013,1
,KKM2,22,11,2011,1
,1AF,22,7,2013,1
,1AF,20,7,2014,1
,1AF,49,7,2014,1
,1AF,43,7,2014,1
,1AF,23,7,2014,1
,1AF,20,7,2014,1
,1AF,18,7,2013,1
,1AF,35,7,2013,1
,1AF,31,7,2014,1
,1AF,15,11,2011,1
,1AF,20,6,2013,1
,1AF,18,7,2013,1
,1AF,29,7,2014,1
,1AF,19,7,2014,1
,1AF,21,11,2011,1
,1AF,13,6,2013,1
,1AF,39,6,2013,1
,1AF,29,6,2013,1
,1AF,26,6,2013,1
,1AF,24,6,2013,1
,1AF,23,6,2013,1
,1AF,23,6,2013,1
,1AF,20,6,2013,1
