ID,cem301_attendees_total,cem011_prgrm,month,year
,45,MFW,1,2014
,51,MFW,1,2014
,88,MFW,1,2014
,44,MFW,1,2014
,85,MFW,1,2014
,59,MFW,1,2014
,86,MFW,1,2014
,31,MFW,1,2014
,69,MFW,1,2014
,46,MFW,1,2014
,50,MFW,1,2014
,42,MFW,1,2014
,82,MFW,1,2014
,50,MFW,1,2014
,79,MFW,1,2014
,211,MFW,1,2014
,68,MFW,1,2014
,48,MFW,1,2014
,33,MFW,1,2014
,144,MFW,1,2014
,35,MFW,1,2014
,61,MFW,1,2014
,29,MFW,1,2014
,54,MFW,1,2014
,38,MFW,1,2014
,41,MFW,1,2014
,35,MFW,1,2014
,62,MFW,1,2014
,73,MFW,1,2014
,48,MFW,1,2014
,49,MFW,1,2014
,52,MFW,1,2014
,58,MFW,1,2014
,80,MFW,1,2014
,90,MFW,1,2014
,66,MFW,1,2014
,49,MFW,1,2014
,71,MFW,1,2014
,75,MFW,1,2014
,45,MFW,1,2014
,22,MFW,1,2014
,40,MFW,1,2014
,60,MFW,1,2014
,84,MFW,1,2014
,41,MFW,1,2014
,80,MFW,1,2014
,58,MFW,1,2014
,66,MFW,1,2014
,69,MFW,1,2014
,68,MFW,1,2014
,52,MFW,1,2014
,35,MFW,1,2014
,40,MFW,1,2014
,48,MFW,1,2014
,98,MFW,1,2014
,35,MFW,1,2014
,19,MFW,1,2014
,72,MFW,1,2014
,43,MFW,1,2014
,82,MFW,1,2014
,77,MFW,1,2014
,257,MFW,1,2014
,47,MFW,1,2014
,52,MFW,1,2014
,54,MFW,1,2014
,45,MFW,1,2014
,51,MFW,1,2014
,43,MFW,1,2014
,90,MFW,1,2014
,45,MFW,1,2014
,67,MFW,1,2014
,77,MFW,1,2014
,30,MFW,1,2014
,54,MFW,1,2014
,80,MFW,1,2014
,53,MFW,1,2014
,68,MFW,1,2014
,74,MFW,1,2014
,38,MFW,1,2014
,61,MFW,1,2014
,81,MFW,1,2014
,70,MFW,1,2014
,60,MFW,1,2014
,60,MFW,1,2014
,35,MFW,1,2014
,41,MFW,1,2014
,87,MFW,1,2014
,56,MFW,1,2014
,58,MFW,1,2014
,33,MFW,1,2014
,60,MFW,1,2014
,116,MFW,1,2014
,73,MFW,1,2014
,39,MFW,1,2014
,39,MFW,1,2014
,63,MFW,1,2014
,50,MFW,1,2014
,40,MFW,1,2014
,83,MFW,1,2014
,210,MFW,1,2014
,74,MFW,1,2014
,56,MFW,1,2014
,58,MFW,1,2014
,53,MFW,1,2014
,89,MFW,1,2014
,76,MFW,1,2014
,35,MFW,1,2014
,14,MFW,1,2014
,57,MFW,1,2014
,82,MFW,1,2014
,66,MFW,1,2014
,40,MFW,1,2014
,70,MFW,1,2014
,109,MFW,1,2014
,53,MFW,1,2014
,77,MFW,1,2014
,49,MFW,1,2014
,40,MFW,1,2014
,47,MFW,1,2014
,35,MFW,1,2014
,90,MFW,1,2014
,57,MFW,1,2014
,44,MFW,1,2014
,47,MFW,1,2014
,40,MFW,1,2014
,112,MFW,1,2014
,73,MFW,2,2014
,69,MFW,2,2014
,28,MFW,2,2014
,51,MFW,2,2014
,40,MFW,2,2014
,66,MFW,2,2014
,152,MFW,2,2014
,58,MFW,2,2014
,20,MFW,2,2014
,35,MFW,2,2014
,40,MFW,2,2014
,20,MFW,2,2014
,121,MFW,2,2014
,69,MFW,2,2014
,52,MFW,2,2014
,85,MFW,2,2014
,60,MFW,2,2014
,44,MFW,2,2014
,119,MFW,2,2014
,58,MFW,2,2014
,106,MFW,2,2014
,17,MFW,2,2014
,38,MFW,2,2014
,135,MFW,2,2014
,50,MFW,2,2014
,36,MFW,2,2014
,64,MFW,2,2014
,55,MFW,2,2014
,32,MFW,2,2014
,180,MFW,2,2014
,97,MFW,2,2014
,88,MFW,2,2014
,84,MFW,2,2014
,87,MFW,2,2014
,48,MFW,2,2014
,54,MFW,2,2014
,40,MFW,2,2014
,65,MFW,2,2014
,23,MFW,2,2014
,173,MFW,2,2014
,72,MFW,2,2014
,30,MFW,2,2014
,35,MFW,2,2014
,77,MFW,2,2014
,108,MFW,2,2014
,102,MFW,2,2014
,45,MFW,2,2014
,60,MFW,2,2014
,53,MFW,2,2014
,68,MFW,2,2014
,83,MFW,2,2014
,35,MFW,2,2014
,120,MFW,2,2014
,85,MFW,2,2014
,62,MFW,2,2014
,52,MFW,2,2014
,55,MFW,2,2014
,92,MFW,2,2014
,69,MFW,2,2014
,68,MFW,2,2014
,86,MFW,2,2014
,86,MFW,2,2014
,42,MFW,2,2014
,50,MFW,2,2014
,56,MFW,2,2014
,101,MFW,2,2014
,40,MFW,2,2014
,61,MFW,2,2014
,96,MFW,2,2014
,38,MFW,2,2014
,73,MFW,2,2014
,60,MFW,2,2014
,34,MFW,2,2014
,65,MFW,2,2014
,40,MFW,2,2014
,86,MFW,2,2014
,56,MFW,2,2014
,33,MFW,2,2014
,62,MFW,2,2014
,44,MFW,2,2014
,60,MFW,2,2014
,41,MFW,2,2014
,79,MFW,2,2014
,48,MFW,2,2014
,31,MFW,2,2014
,108,MFW,2,2014
,57,MFW,2,2014
,70,MFW,2,2014
,76,MFW,2,2014
,46,MFW,2,2014
,52,MFW,2,2014
,49,MFW,2,2014
,55,MFW,2,2014
,111,MFW,2,2014
,101,MFW,2,2014
,17,MFW,2,2014
,38,MFW,2,2014
,84,MFW,2,2014
,58,MFW,2,2014
,80,MFW,2,2014
,84,MFW,2,2014
,50,MFW,2,2014
,45,MFW,2,2014
,52,MFW,2,2014
,34,MFW,2,2014
,69,MFW,2,2014
,77,MFW,2,2014
,33,MFW,2,2014
,50,MFW,2,2014
,75,MFW,2,2014
,50,MFW,2,2014
,62,MFW,2,2014
,38,MFW,2,2014
,92,MFW,2,2014
,65,MFW,2,2014
,49,MFW,2,2014
,53,MFW,2,2014
,32,MFW,2,2014
,55,MFW,2,2014
,56,MFW,2,2014
,61,MFW,2,2014
,42,MFW,2,2014
,50,MFW,2,2014
,72,MFW,2,2014
,62,MFW,2,2014
,68,MFW,2,2014
,32,MFW,2,2014
,42,MFW,2,2014
,68,MFW,2,2014
,65,MFW,2,2014
,75,MFW,2,2014
,41,MFW,2,2014
,40,MFW,2,2014
,24,MFW,2,2014
,64,MFW,2,2014
,61,MFW,2,2014
,32,MFW,2,2014
,54,MFW,2,2014
,59,MFW,2,2014
,37,MFW,2,2014
,72,MFW,2,2014
,72,MFW,2,2014
,56,MFW,2,2014
,78,MFW,2,2014
,81,MFW,2,2014
,58,MFW,2,2014
,46,MFW,2,2014
,49,MFW,2,2014
,49,MFW,2,2014
,80,MFW,2,2014
,39,MFW,2,2014
,78,MFW,2,2014
,30,MFW,2,2014
,51,MFW,2,2014
,74,MFW,2,2014
,56,MFW,2,2014
,82,MFW,2,2014
,69,MFW,2,2014
,79,MFW,2,2014
,41,MFW,2,2014
,68,MFW,2,2014
,65,MFW,2,2014
,85,MFW,2,2014
,27,MFW,2,2014
,83,MFW,2,2014
,46,MFW,2,2014
,36,MFW,2,2014
,24,MFW,2,2014
,28,MFW,2,2014
,85,MFW,2,2014
,57,MFW,2,2014
,50,MFW,2,2014
,46,MFW,2,2014
,210,MFW,2,2014
,52,MFW,2,2014
,50,MFW,2,2014
,60,MFW,2,2014
,30,MFW,2,2014
,60,MFW,2,2014
,71,MFW,2,2014
,20,MFW,2,2014
,45,MFW,2,2014
,44,MFW,2,2014
,69,MFW,2,2014
,68,MFW,2,2014
,73,MFW,2,2014
,55,MFW,2,2014
,71,MFW,2,2014
,43,MFW,2,2014
,52,MFW,2,2014
,22,MFW,2,2014
,65,MFW,2,2014
,59,MFW,2,2014
,40,MFW,2,2014
,49,MFW,2,2014
,32,MFW,2,2014
,37,MFW,2,2014
,74,MFW,2,2014
,70,MFW,2,2014
,35,MFW,2,2014
,41,MFW,2,2014
,50,MFW,2,2014
,26,MFW,2,2014
,51,MFW,2,2014
,41,MFW,2,2014
,70,MFW,2,2014
,69,MFW,2,2014
,46,MFW,2,2014
,79,MFW,2,2014
,58,MFW,2,2014
,73,MFW,2,2014
,68,MFW,2,2014
,55,MFW,2,2014
,19,MFW,2,2014
,39,MFW,2,2014
,54,MFW,2,2014
,61,MFW,2,2014
,52,MFW,2,2014
,31,MFW,2,2014
,98,MFW,2,2014
,63,MFW,2,2014
,75,MFW,2,2014
,70,MFW,2,2014
,67,MFW,2,2014
,44,MFW,2,2014
,84,MFW,2,2014
,81,MFW,2,2014
,70,MFW,2,2014
,38,MFW,2,2014
,50,MFW,2,2014
,73,MFW,2,2014
,39,MFW,2,2014
,79,MFW,2,2014
,40,MFW,2,2014
,29,MFW,2,2014
,50,MFW,2,2014
,58,MFW,2,2014
,56,MFW,2,2014
,77,MFW,2,2014
