id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,country
,Rongo,10310525,3,127,4.233333,0.7086614,3.543307,2,8,2015/01/26,2015/06/02,1
,Rongo,10310526,7,236,7.866667,0.8898305,4.449152,3,10,2014/10/30,2015/06/23,1
,Rongo,10310528,3,112,3.733333,0.8035714,4.017857,2,8,2014/07/10,2014/10/30,1
,Rongo,10310529,7,204,6.8,1.029412,5.147059,3,12,2014/07/10,2015/01/30,1
,Rongo,10310530,3,266,8.866667,0.3383459,1.691729,2,8,2014/07/15,2015/04/07,1
,Rongo,10310531,3,200,6.666667,0.45,2.25,3,8,2014/07/10,2015/06/23,1
,Rongo,10310532,8,370,12.33333,0.6486487,3.243243,4,12,2014/06/18,2015/06/23,1
,Rongo,10310533,8,293,9.766666,0.8191127,4.095563,4,12,2014/06/18,2015/04/07,1
,Rongo,10310534,9,180,6,1.5,7.5,3,12,2015/02/25,2015/08/24,1
,Rongo,10310535,10,388,12.93333,0.7731959,3.865979,4,14,2014/08/01,2015/08/24,1
,Rongo,10310536,10,388,12.93333,0.7731959,3.865979,4,14,2014/08/01,2015/08/24,1
