id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,29,Kibuku 4,8,2013,
,52,Kibuku 4,8,2013,
,22,Kibuku ,3,2015,
,32,Kibuku 4,8,2013,
,45,Kibuku 4,7,2013,
,40,Kibuku 4,8,2013,
,61,Kibuku 4,7,2013,
,32,Kibuku 4,8,2013,
,30,Kibuku 4,8,2013,
,50,Kibuku 4,8,2013,
,10,Kibuku 4,8,2013,
,32,Kibuku 4,8,2013,
,47,Kibuku 4,7,2013,
,34,Kibuku 3,3,2015,
,34,Kibuku ,3,2015,
,30,Kibuku 3,3,2015,
,24,Kibuku 4,7,2013,
,60,Kibuku 3,3,2015,
,53,Kibuku 3,3,2015,
,28,Kibuku 4,8,2013,
,30,Kibuku ,3,2015,
,33,Kibuku ,3,2015,
,30,Kibuku 4,8,2013,
,53,Kibuku 4,7,2013,
,46,Kibuku 3,3,2015,
,30,Kibuku 4,8,2013,
,49,Kibuku 4,8,2013,
,40,Kibuku 3,3,2015,
,48,Kibuku 4,8,2013,
,23,Kibuku 4,8,2013,
,,Kibuku 3,5,2013,
,37,Kibuku 3,3,2015,
,28,Kibuku 3,4,2014,
,20,Kibuku 3,4,2014,
,43,Kibuku 3,4,2014,
,31,Kibuku 3,4,2014,
,23,Kibuku 3,4,2014,
,21,Kibuku 3,4,2014,
,31,Kibuku 3,4,2014,
,26,Kibuku 3,4,2014,
,25,Kibuku 3,4,2014,
,30,Kibuku 3,4,2014,
,24,Kibuku 3,4,2014,
,59,Kibuku 3,4,2014,
,33,Kibuku 3,4,2014,
,21,Kibuku 3,4,2014,
,42,Kibuku 3,4,2014,
,57,Kibuku 3,4,2014,
,21,Kibuku 3,4,2014,
,49,Kibuku 3,4,2014,
,40,Kibuku 3,4,2014,
,28,Kibuku 3,4,2014,
,26,Kibuku 3,4,2014,
,30,Kibuku 3,4,2014,
,24,Kibuku 3,4,2014,
,46,Kibuku 3,4,2014,
,53,Kibuku 3,4,2014,
,23,Kibuku 3,4,2014,
,42,Kibuku 3,4,2014,
,28,Kibuku 3,4,2014,
,18,Kibuku 3,4,2014,
,51,Kibuku 3,4,2014,
,28,Kibuku 3,4,2014,
,32,Kibuku ,3,2015,
,21,Kibuku 3,4,2014,
,37,Kibuku 3,4,2014,
,27,Kibuku 3,4,2014,
,45,Kibuku 3,4,2014,
,33,Kibuku 3,4,2014,
,37,Kibuku 3,4,2014,
,36,Kibuku ,3,2015,
,52,Kibuku 3,4,2014,
,40,Kibuku 3,4,2014,
,28,Kibuku 3,4,2014,
,28,Kibuku 3,4,2014,
,33,Kibuku 3,6,2014,
,32,Kibuku 3,6,2014,
,52,Kibuku 3,4,2014,
,69,Kibuku 3,4,2014,
,98,Kibuku ,3,2015,
,28,Kibuku 3,4,2014,
,25,Kibuku 3,4,2014,
,50,Kibuku 3,4,2014,
,32,Kibuku 3,4,2014,
,56,Kibuku 3,4,2014,
,29,Kibuku 3,4,2014,
,20,Kibuku 4,4,2014,
,20,Kibuku 4,4,2014,
,19,Kibuku 4,4,2014,
,25,Kibuku 4,4,2014,
,23,Kibuku 4,4,2014,
,23,Kibuku 4,4,2014,
,26,Kibuku 4,4,2014,
,24,Kibuku ,3,2015,
,38,Kibuku 4,4,2014,
,17,Kibuku 4,4,2014,
,68,Kibuku 4,7,2013,
,25,Kibuku 4,4,2014,
,17,Kibuku 4,4,2014,
,28,Kibuku 4,4,2014,
,34,Kibuku 4,4,2014,
,37,Kibuku 4,4,2014,
,35,Kibuku 4,4,2014,
,23,Kibuku 4,4,2014,
,38,Kibuku 4,4,2014,
,20,Kibuku 4,4,2014,
,13,Kibuku 4,4,2014,
,40,Kibuku 4,4,2014,
,25,Kibuku 4,4,2014,
,45,Kibuku 4,4,2014,
,28,Kibuku 4,4,2014,
,26,Kibuku 4,4,2014,
,48,Kibuku 4,4,2014,
,20,Kibuku 4,4,2014,
,35,Kibuku 4,4,2014,
,46,Kibuku 4,4,2014,
,26,Kibuku 4,4,2014,
,15,Kibuku 4,4,2014,
,19,Kibuku 4,4,2014,
,21,Kibuku 4,4,2014,
,46,Kibuku 4,4,2014,
,64,Kibuku 4,4,2014,
,26,Kibuku 4,4,2014,
,31,Kibuku 4,4,2014,
,62,Kibuku 4,4,2014,
,23,Kibuku 4,4,2014,
,25,Kibuku 4,4,2014,
,28,Kibuku 4,4,2014,
,40,Kibuku 4,4,2014,
,19,Kibuku 4,4,2014,
,45,Kibuku 4,4,2014,
,40,Kibuku 4,4,2014,
,24,Kibuku 4,4,2014,
,41,Kibuku 4,4,2014,
,33,Kibuku 4,4,2014,
,36,Kibuku 4,4,2014,
,22,Kibuku 4,4,2014,
,36,Kibuku 4,4,2014,
,31,Kibuku 4,4,2014,
,25,Kibuku 4,4,2014,
,22,Kibuku ,3,2015,
,20,Kibuku 4,4,2014,
,46,Kibuku 4,4,2014,
,32,Kibuku 4,4,2014,
,21,Kibuku 4,4,2014,
,41,Kibuku ,3,2015,
,18,Kibuku 4,4,2014,
,45,Kibuku 4,4,2014,
,37,Kibuku 4,4,2014,
,31,Kibuku 4,4,2014,
,23,Kibuku 4,4,2014,
,33,Kibuku 4,4,2014,
,42,Kibuku 4,4,2014,
