id,s102_wpt_id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
,10050044,1,0,,,,,3,2015,1,BSA
,10050044,1,0,,,,,8,2015,1,BSA
,10050045,1,0,,,,,3,2015,1,BSA
,10050045,1,0,,,,,6,2015,1,BSA
,10050045,1,0,,,,,8,2015,1,BSA
,10050045,1,0,,,,,10,2014,1,BSA
,10050046,,1,0,0,1,0,3,2015,1,BSA
,10050046,1,0,,,,,6,2015,1,BSA
,10050046,1,0,,,,,7,2015,1,BSA
,10050047,1,0,,,,,11,2015,1,BSA
,10050047,1,0,,,,,8,2015,1,BSA
,10050047,1,1,0,0,0,0,3,2015,1,BSA
,10050048,,1,0,1,1,0,5,2015,1,KKM
,10050048,1,0,,,,,6,2015,1,KKM
,10050048,1,0,,,,,3,2015,1,KKM
,10050049,1,0,,,,,8,2015,1,BSA
,10050049,1,0,,,,,6,2015,1,BSA
,10050049,1,1,0,1,1,0,3,2015,1,BSA
,10050050,1,0,,,,,6,2015,1,BSA
,10050050,1,0,,,,,3,2015,1,BSA
,10050050,1,0,,,,,11,2015,1,BSA
,10050051,1,0,,,,,6,2015,1,BSA
,10050051,1,1,1,1,1,0,3,2015,1,BSA
,10050051,1,0,,,,,8,2015,1,BSA
,10050051,1,0,,,,,11,2015,1,BSA
,10050052,0,1,0,1,0,0,8,2015,1,BSA
,10050052,1,0,,,,,6,2015,1,BSA
,10050052,1,0,,,,,7,2014,1,BSA
,10050052,0,1,0,1,1,0,3,2015,1,BSA
,10050052,1,0,,,,,8,2015,1,BSA
,10050053,1,0,,,,,6,2015,1,BSA
,10050053,1,0,,,,,8,2015,1,BSA
,10050053,1,0,,,,,3,2014,1,BSA
,10050053,1,0,,,,,3,2015,1,BSA
,10050054,1,0,,,,,2,2015,1,KKM2
,10050055,1,0,,,,,2,2015,1,BSA
,10050056,1,0,,,,,1,2016,1,KKM2
,10050056,1,0,,,,,2,2015,1,KKM2
,10050057,1,0,,,,,2,2015,1,KKM2
,10050058,1,0,,,,,2,2015,1,KKM2
,10050059,1,0,,,,,2,2015,1,KKM2
,10050060,1,1,1,0,0,0,3,2015,1,KKM2
,10050061,1,0,,,,,10,2015,1,KKM2
,10050061,0,0,,,,,5,2016,1,KKM2
,10050062,1,0,,,,,3,2015,1,KKM2
,10050064,1,0,,,,,3,2015,1,KKM2
,10050065,1,0,,,,,3,2015,1,KKM
,10050065,1,0,,,,,5,2015,1,KKM
,10050065,1,0,,,,,7,2015,1,KKM
,10050065,1,0,,,,,12,2014,1,KKM
,10050066,1,0,,,,,10,2015,1,BSA
,10050066,1,0,,,,,7,2015,1,BSA
,10050066,1,0,,,,,3,2015,1,BSA
,10050066,1,0,,,,,5,2015,1,BSA
,10050066,1,0,,,,,2,2016,1,BSA
,10050066,1,0,,,,,4,2014,1,BSA
,10050067,1,0,,,,,3,2015,1,BSA
,10050067,1,0,,,,,11,2013,1,BSA
,10050067,1,0,,,,,10,2015,1,BSA
,10050067,1,0,,,,,5,2015,1,BSA
,10050067,1,0,,,,,2,2016,1,BSA
,10050067,1,0,,,,,7,2015,1,BSA
,10050068,1,0,,,,,12,2013,1,BSA
,10050068,1,0,,,,,2,2016,1,BSA
,10050068,1,0,,,,,7,2015,1,BSA
,10050068,1,0,,,,,3,2015,1,BSA
,10050069,1,0,,,,,7,2015,1,BSA
,10050069,1,0,,,,,2,2016,1,BSA
,10050069,1,0,,,,,3,2015,1,BSA
,10050069,1,0,,,,,5,2015,1,BSA
,10050070,1,0,,,,,2,2016,1,BSA
,10050070,1,0,,,,,5,2015,1,BSA
,10050070,1,0,,,,,3,2015,1,BSA
,10050070,1,0,,,,,7,2015,1,BSA
,10050071,1,0,,,,,2,2015,1,KKM2
,10050071,1,0,,,,,10,2015,1,KKM2
,10050072,1,0,,,,,10,2015,1,KKM2
,10050072,1,0,,,,,2,2015,1,KKM2
,10050073,1,0,,,,,2,2015,1,KKM2
,10050073,1,0,,,,,10,2015,1,KKM2
,10050074,1,0,,,,,10,2015,1,KKM2
,10050074,1,0,,,,,2,2015,1,KKM2
,10050075,1,0,,,,,10,2015,1,KKM2
,10050075,1,0,,,,,2,2015,1,KKM2
,10050076,1,0,,,,,10,2015,1,KKM2
,10050076,1,0,,,,,2,2015,1,KKM2
,10050077,1,0,,,,,3,2015,1,BSA
,10050077,1,0,,,,,6,2015,1,BSA
,10050077,1,0,,,,,11,2015,1,BSA
,10050077,1,0,,,,,6,2015,1,BSA
,10050078,1,1,0,1,1,0,3,2015,1,KKM
,10050078,1,0,,,,,6,2015,1,KKM
,10050079,,0,,,,,6,2015,1,BSA
,10050079,,0,,,,,3,2015,1,BSA
,10050080,1,0,,,,,3,2015,1,KKM
,10050080,1,0,,,,,6,2015,1,KKM
,10050081,1,0,,,,,4,2015,1,KKM
,10050081,1,0,,,,,3,2015,1,KKM
,10050081,1,0,,,,,6,2015,1,KKM
,10050081,1,0,,,,,5,2014,1,KKM
,10050082,1,0,,,,,3,2015,1,BSA
,10050082,1,0,,,,,6,2015,1,BSA
,10050082,1,0,,,,,4,2015,1,BSA
,10050082,1,0,,,,,11,2013,1,BSA
,10050083,1,0,,,,,1,2015,1,BSA
,10050083,1,0,,,,,9,2015,1,BSA
,10050084,1,0,,,,,7,2015,1,BSA
,10050084,1,0,,,,,3,2014,1,BSA
,10050084,1,0,,,,,9,2015,1,BSA
,10050084,1,1,0,1,1,0,1,2015,1,BSA
,10050084,1,0,,,,,6,2015,1,BSA
,10050085,1,0,,,,,10,2015,1,BSA
,10050086,1,0,,,,,7,2015,1,BSA
,10050086,,,,,,,10,2015,1,BSA
,10050086,1,0,,,,,1,2015,1,BSA
,10050086,1,0,,,,,7,2015,1,BSA
,10050086,,1,1,1,0,0,5,2015,1,BSA
,10050087,1,0,,,,,9,2015,1,BSA
,10050087,1,0,,,,,1,2015,1,BSA
,10050087,1,0,,,,,8,2014,1,BSA
,10050088,1,0,,,,,12,2014,1,KKM2
,10050088,1,0,,,,,2,2015,1,KKM2
,10050089,1,0,,,,,2,2015,1,KKM2
,10050089,1,0,,,,,10,2015,1,KKM2
,10050089,1,0,,,,,3,2014,1,KKM2
,10050090,1,0,,,,,2,2015,1,KKM2
,10050091,1,0,,,,,10,2015,1,KKM2
,10050091,1,0,,,,,2,2015,1,KKM2
,10050092,1,0,,,,,10,2015,1,KKM2
