ID,cem301_attendees_total,cem011_prgrm,month,year,cem009_country,cem005_today
,15,Zomba 4,1,2012,3,11-Jan-12
,20,Zomba 4,3,2015,3,26-Mar-15
,50,Zomba 4,3,2015,3,16-Mar-15
,20,Zomba 4,1,2012,3,11-Jan-12
,21,Zomba 4,3,2015,3,06-Mar-15
,11,Zomba 4,3,2015,3,06-Mar-15
,8,Zomba 4,3,2015,3,06-Mar-15
,8,Zomba 4,3,2015,3,10-Mar-15
,14,Zomba 4,3,2015,3,08-Mar-15
,16,Zomba 4,3,2015,3,08-Mar-15
,40,Zomba 4,3,2015,3,16-Mar-15
,45,Zomba 4,3,2015,3,18-Mar-15
,15,Zomba 4,3,2015,3,18-Mar-15
,60,Zomba 4,3,2015,3,16-Mar-15
,11,Zomba 4,4,2015,3,19-Apr-15
,10,Zomba 4,4,2015,3,19-Apr-15
,50,Zomba 4,12,2014,3,16-Dec-14
,32,Zomba 4,12,2014,3,18-Dec-14
,46,Zomba 4,12,2014,3,18-Dec-14
,34,Zomba 4,4,2015,3,01-Apr-15
,32,Zomba 4,1,2012,3,01-Jan-12
,62,Zomba 4,1,2012,3,04-Jan-12
,90,Zomba 4,5,2015,3,12-May-15
,90,Zomba 4,5,2015,3,12-May-15
,347,Zomba 4,1,2013,3,03-Jan-13
,33,Zomba 4,12,2014,3,17-Dec-14
,79,Zomba 4,12,2014,3,16-Dec-14
,47,Zomba 4,12,2014,3,18-Dec-14
,36,Zomba 4,4,2015,3,01-Apr-15
,11,Zomba 4,12,2014,3,19-Dec-14
,20,Zomba 4,12,2014,3,20-Dec-14
,27,Zomba 4,12,2014,3,18-Dec-14
,22,Zomba 4,11,2014,3,24-Nov-14
,20,Zomba 4,12,2014,3,15-Dec-14
,25,Zomba 4,12,2014,3,15-Dec-14
,21,Zomba 4,12,2014,3,17-Dec-14
,47,Zomba 4,12,2014,3,18-Dec-14
,46,Zomba 4,12,2014,3,17-Dec-14
,45,Zomba 4,11,2014,3,14-Nov-14
,90,Zomba 4,5,2015,3,12-May-15
,34,Zomba 4,12,2014,3,17-Dec-14
,32,Zomba 4,12,2014,3,29-Dec-14
,44,Zomba 4,12,2014,3,23-Dec-14
,36,Zomba 4,12,2014,3,23-Dec-14
,22,Zomba 4,12,2014,3,29-Dec-14
,20,Zomba 4,3,2015,3,29-Mar-15
,35,Zomba 4,3,2015,3,03-Mar-15
,114,Zomba 4,3,2015,3,02-Mar-15
,18,Zomba 4,3,2015,3,02-Mar-15
,90,Zomba 4,3,2015,3,03-Mar-15
,54,Zomba 4,3,2015,3,31-Mar-15
,32,Zomba 4,12,2014,3,15-Dec-14
,18,Zomba 4,12,2014,3,16-Dec-14
,28,Zomba 4,1,2012,3,05-Jan-12
,28,Zomba 4,12,2014,3,16-Dec-14
,27,Zomba 4,12,2014,3,16-Dec-14
,15,Zomba 4,12,2014,3,17-Dec-14
,35,Zomba 4,12,2014,3,16-Dec-14
,54,Zomba 4,3,2015,3,13-Mar-15
,20,Zomba 4,3,2015,3,10-Mar-15
,15,Zomba 4,3,2015,3,10-Mar-15
,40,Zomba 4,3,2015,3,17-Mar-15
,20,Zomba 4,1,2013,3,10-Jan-13
,23,Zomba 4,12,2014,3,17-Dec-14
,15,Zomba 4,12,2014,3,19-Dec-14
,16,Zomba 4,2,2015,3,25-Feb-15
,20,Zomba 4,1,2013,3,10-Jan-13
,28,Zomba 4,1,2013,3,11-Jan-13
,85,Zomba 4,12,2014,3,17-Dec-14
,80,Zomba 4,12,2014,3,17-Dec-14
,50,Zomba 4,3,2015,3,27-Mar-15
,80,Zomba 4,3,2015,3,05-Mar-15
,126,Zomba 4,12,2014,3,16-Dec-14
,50,Zomba 4,3,2015,3,04-Mar-15
,90,Zomba 4,12,2014,3,18-Dec-14
,52,Zomba 4,12,2014,3,17-Dec-14
,100,Zomba 4,12,2014,3,17-Dec-14
,80,Zomba 4,3,2015,3,05-Mar-15
,15,Zomba 4,12,2014,3,20-Dec-14
,18,Zomba 4,4,2015,3,07-Apr-15
,12,Zomba 4,12,2014,3,19-Dec-14
,25,Zomba 4,12,2014,3,20-Dec-14
,25,Zomba 4,12,2014,3,20-Dec-14
,10,Zomba 4,4,2015,3,08-Apr-15
,30,Zomba 4,12,2014,3,19-Dec-14
,50,Zomba 4,12,2014,3,19-Dec-14
,40,Zomba 4,4,2015,3,01-Apr-15
,70,Zomba 4,12,2014,3,16-Dec-14
,70,Zomba 4,1,2013,3,05-Jan-13
,40,Zomba 4,12,2014,3,16-Dec-14
,140,Zomba 4,12,2014,3,16-Dec-14
,250,Zomba 4,12,2014,3,16-Dec-14
,200,Zomba 4,12,2014,3,16-Dec-14
,150,Zomba 4,12,2014,3,18-Dec-14
,200,Zomba 4,12,2014,3,19-Dec-14
,150,Zomba 4,12,2014,3,18-Dec-14
,11,Zomba 4,12,2014,3,18-Dec-14
,10,Zomba 4,12,2014,3,18-Dec-14
,10,Zomba 4,12,2014,3,18-Dec-14
,40,Zomba 4,3,2015,3,05-Mar-15
