ID,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country,vcs014_mtg_date
,21,Srk,10,2014,2,02-Jul-14
,49,Mfw,10,2014,2,10-Jan-14
,69,Mfw,10,2014,2,02-Dec-13
,67,Mfw,10,2014,2,21-Jan-14
,80,Mfw,10,2014,2,17-Dec-13
,60,Mbl1,10,2014,2,21-Jun-14
,38,Mfw,10,2014,2,19-Dec-13
,36,Srk,10,2014,2,11-Jul-14
,47,Mfw,10,2014,2,14-Dec-13
,46,Mfw,10,2014,2,14-Dec-13
,37,Srk,10,2014,2,26-Nov-13
,40,Mfw,10,2014,2,16-Dec-13
,32,Srk,10,2014,2,18-Jun-14
,20,Srk,10,2014,2,08-Jul-14
,27,Srk,10,2014,2,04-Jul-14
,50,Mbl1,10,2014,2,07-Jul-14
,53,Mfw,10,2014,2,10-Jan-14
,45,Mfw,10,2014,2,09-Jan-14
,54,Mbl1,10,2014,2,08-Jul-14
,23,Srk,10,2014,2,19-Jun-14
,35,Srk,10,2014,2,14-Jul-14
,42,Mbl1,10,2014,2,21-Jul-14
,30,Srk,10,2014,2,12-Jul-14
,57,Mfw,10,2014,2,19-Dec-13
,52,Mfw,10,2014,2,13-Dec-13
,47,Mfw,10,2014,2,09-Jan-14
,45,Mfw,10,2014,2,03-Dec-13
,68,Mfw,10,2014,2,21-Jan-14
,50,Srk,10,2014,2,03-Dec-13
,48,Srk,10,2014,2,03-Dec-13
,29,Srk,10,2014,2,09-Jul-14
,35,Mbl1,10,2014,2,08-Jul-14
,31,Mbl1,10,2014,2,08-Jul-14
,33,Srk,10,2014,2,10-Jul-14
,147,Srk,10,2014,2,17-Jul-14
,45,Mbl1,10,2014,2,17-Jul-14
,42,Mfw,10,2014,2,26-Nov-13
,37,Mbl1,10,2014,2,14-Jul-14
,94,Mfw,10,2014,2,02-Dec-13
,70,Mfw,10,2014,2,07-Dec-13
,63,Mfw,10,2014,2,16-Dec-13
,43,Mfw,10,2014,2,14-Nov-13
,51,Mbl1,10,2014,2,09-Jul-14
,34,Mfw,10,2014,2,18-Dec-13
,80,Mfw,10,2014,2,13-Nov-13
,38,Srk,10,2014,2,11-Jul-14
,48,Mfw,10,2014,2,18-Dec-13
,100,Mfw,10,2014,2,09-Jan-14
,44,Mfw,10,2014,2,13-Nov-13
,35,Mbl1,10,2014,2,04-Jun-14
,27,Srk,10,2014,2,08-Jul-14
,71,Mfw,10,2014,2,19-Dec-13
,31,Mbl1,10,2014,2,12-Jul-14
,86,Mfw,10,2014,2,16-Dec-13
,61,Mfw,10,2014,2,09-Jan-14
,68,Mfw,10,2014,2,17-Dec-13
,70,Mfw,10,2014,2,16-Dec-13
,52,Mfw,10,2014,2,21-Jan-14
,41,Mfw,10,2014,2,07-Dec-13
,30,Mbl1,10,2014,2,24-Jun-14
,26,Mfw,10,2014,2,13-Nov-13
,45,Mfw,10,2014,2,02-Dec-13
,27,Srk,10,2014,2,16-Jul-14
,47,Srk,10,2014,2,04-Dec-13
,41,Srk,10,2014,2,20-Jun-14
,29,Srk,10,2014,2,07-Jul-14
,98,Mfw,10,2014,2,17-Dec-13
,81,Mfw,10,2014,2,09-Jan-14
,48,Mfw,10,2014,2,09-Jan-14
,31,Srk,10,2014,2,03-Jul-14
,30,Srk,10,2014,2,27-Jun-14
,33,Mfw,10,2014,2,04-Dec-13
,94,Mfw,10,2014,2,16-Dec-13
,29,Mbl1,10,2014,2,09-Jul-14
,82,Mfw,10,2014,2,18-Dec-13
,102,Mfw,10,2014,2,17-Dec-13
