ID,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,50,Kibuku 3,5,2013,2
,50,Kibuku 4,7,2013,2
,25,Kibuku 4,7,2013,2
,58,Kibuku 2,7,2013,2
,33,Kibuku 2,7,2013,2
,45,Kibuku 4,7,2013,2
,52,Kibuku 4,7,2013,2
,35,Kibuku 4,7,2013,2
,45,Kibuku 4,7,2013,2
,35,Kibuku 4,7,2013,2
,30,Kibuku 4,7,2013,2
,50,Kibuku 4,7,2013,2
,26,Kibuku 4,7,2013,2
,29,Kibuku 4,7,2013,2
,33,Kibuku 4,7,2013,2
,53,Kibuku 4,7,2013,2
,49,Kibuku 4,7,2013,2
,28,Kibuku 4,7,2013,2
,31,Kibuku 4,7,2013,2
,68,Kibuku 4,7,2013,2
,42,Kibuku 4,7,2013,2
,14,Kibuku 4,7,2013,2
,44,Kibuku 4,7,2013,2
,24,Kibuku 4,7,2013,2
,21,Kibuku 1,7,2013,2
,49,Kibuku 4,7,2013,2
,31,Kibuku 4,7,2013,2
,34,Kibuku 4,7,2013,2
,69,Kibuku 1,7,2013,2
,24,Kibuku 4,7,2013,2
,20,Kibuku 4,7,2013,2
,53,Kibuku 4,7,2013,2
,47,Kibuku 4,7,2013,2
,61,Kibuku 4,7,2013,2
,45,Kibuku 4,7,2013,2
,43,Kibuku 4,7,2013,2
,30,Kibuku 4,8,2013,2
,46,Kibuku 4,8,2013,2
,31,Kibuku 4,8,2013,2
,29,Kibuku 4,8,2013,2
,48,Kibuku 4,8,2013,2
,22,Kibuku 4,8,2013,2
,29,Kibuku 4,8,2013,2
,54,Kibuku 4,8,2013,2
,15,Kibuku 4,8,2013,2
,32,Kibuku 4,8,2013,2
,34,Kibuku 4,8,2013,2
,33,Kibuku 4,8,2013,2
,18,Kibuku 4,8,2013,2
,40,Kibuku 4,8,2013,2
,25,Kibuku 4,8,2013,2
,40,Kibuku 4,8,2013,2
,51,Kibuku 4,8,2013,2
,39,Kibuku 4,8,2013,2
,29,Kibuku 4,8,2013,2
,31,Kibuku 4,8,2013,2
,38,Kibuku 4,8,2013,2
,48,Kibuku 4,8,2013,2
,45,Kibuku 4,8,2013,2
,21,Kibuku 4,8,2013,2
,24,Kibuku 4,8,2013,2
,41,Kibuku 4,8,2013,2
,17,Kibuku 4,8,2013,2
,42,Kibuku 4,8,2013,2
,51,Kibuku 1,8,2013,2
,46,Kibuku 2,8,2013,2
,34,Kibuku 4,8,2013,2
,30,Kibuku 4,8,2013,2
,51,Kibuku 4,8,2013,2
,21,Kibuku 4,8,2013,2
,40,Kibuku 4,8,2013,2
,52,Kibuku 2,8,2013,2
,30,Kibuku 4,8,2013,2
,30,Kibuku 4,8,2013,2
,39,Kibuku 3,8,2013,2
,25,Kibuku 4,8,2013,2
,89,Kibuku 4,8,2013,2
,50,Kibuku 4,8,2013,2
,52,Kibuku 3,8,2013,2
,30,Kibuku 4,8,2013,2
,35,Kibuku 4,8,2013,2
,45,Kibuku 4,8,2013,2
,35,Kibuku 2,8,2013,2
,56,Kibuku 2,8,2013,2
,30,Kibuku 4,8,2013,2
,30,Kibuku 2,8,2013,2
,33,Kibuku 4,8,2013,2
,28,Kibuku 4,8,2013,2
,10,Kibuku 4,8,2013,2
,24,Kibuku 4,8,2013,2
,22,Kibuku 4,8,2013,2
