id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country,
,SYA,10221097,3.5,133,4.433333,0.7894737,3.947368,2,6,2015/01/26,2015/06/08,6,2015,1,
,SYA,10221098,16,799,26.63333,0.6007509,3.003755,7,19,2013/09/11,2015/11/19,11,2015,1,
,SYA,10221099,4,148,4.933333,0.8108108,4.054054,3,7,2015/06/24,2015/11/19,11,2015,1,
,SYA,10221100,10,602,20.06667,0.4983388,2.491694,6,13,2014/01/13,2015/09/07,9,2015,1,
,SYA,10221102,11.5,735,24.5,0.4693878,2.346939,5,15,2013/09/12,2015/09/17,9,2015,1,
,SYA,10221103,8,525,17.5,0.4571429,2.285714,5,15,2013/09/11,2015/02/19,2,2015,1,
,SYA,10221104,11,525,17.5,0.6285715,3.142857,7,18,2013/09/11,2015/02/19,2,2015,1,
,SYA,10221105,17,650,21.66667,0.7846154,3.923077,7,20,2013/09/12,2015/06/24,6,2015,1,
,SYA,10221106,8,620,20.66667,0.3870968,1.935484,4,12,2013/10/12,2015/06/24,6,2015,1,
,SYA,10221107,6,280,9.333333,0.6428572,3.214286,4,8,2015/02/12,2015/11/19,11,2015,1,
,SYA,10221108,15,651,21.7,0.6912442,3.456221,6,18,2013/09/11,2015/06/24,6,2015,1,
,SYA,10221109,10.5,798,26.6,0.3947368,1.973684,6,18,2013/09/11,2015/11/19,11,2015,1,
,SYA,10221110,8,453,15.1,0.5298013,2.649007,5,11,2013/09/12,2014/12/09,12,2014,1,
,SYA,10221111,3.5,231,7.7,0.4545455,2.272727,4,5,2014/07/03,2015/02/19,2,2015,1,
,SYA,10221112,2.5,210,7,0.3571429,1.785714,2,5,2015/02/19,2015/09/17,9,2015,1,
,SYA,10221113,19,798,26.6,0.7142857,3.571429,10,27,2013/09/11,2015/11/19,11,2015,1,
,SYA,10221114,8.5,256,8.533334,0.9960937,4.980468,4,12,2013/09/12,2014/05/26,5,2014,1,
,SYA,10221115,13.25,361,12.03333,1.101108,5.50554,7,17,2013/09/12,2014/09/08,9,2014,1,
,SYA,10221116,11.5,330,11,1.045455,5.227273,6,13,2014/04/16,2015/03/12,3,2015,1,
,SYA,10221117,17.5,545,18.16667,0.9633028,4.816514,8,21,2013/09/13,2015/03/12,3,2015,1,
,SYA,10221118,7,172,5.733333,1.22093,6.104651,2,7,2013/09/13,2014/03/04,3,2014,1,
,SYA,10221120,2.5,187,6.233333,0.4010695,2.005348,2,7,2013/09/13,2014/03/19,3,2014,1,
,SYA,10221121,8,448,14.93333,0.5357143,2.678571,5,11,2013/09/17,2014/12/09,12,2014,1,
