ID,t011_prgrm,t311_wpt_pass,t301_wpt_flow_rate,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year
,BTJ,1,,,1,1,1,,,,,80,1,2,11,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,36.66666667,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,766.6666667,1,2,10,2014
,BTJ,0,0,,,,,,,,,,,2,3,2015
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,1,,,,,1,,,,,55.83333333,1,2,10,2014
,BTJ,0,,,1,1,1,,,,3,,,2,11,2014
,BTJ,0,,,0,,1,,,,4,,,2,11,2014
,BTJ,1,,,0,,1,,,,,63.33333333,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,50,1,2,11,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,47.5,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,15,1,2,10,2014
,BTJ,1,,,0,,1,,,,9,17.5,1,2,10,2014
,BTJ,1,,,0,,1,,,,,62.5,1,2,11,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,0,,1,,,,,60,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,80,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,110,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,0,,1,,,,,,,2,10,2014
,BTJ,1,,,0,,1,,,,,55,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,42,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,60,1,2,10,2014
,BTJ,1,,,0,,1,,,,,65,1,2,10,2014
,BTJ,0,,,0,,0,,,,,,,2,11,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,40,1,2,10,2014
,BTJ,0,,,,,1,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,50,1,2,10,2014
,BTJ,0,,,0,,0,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,0,,0,,,,,,,2,10,2014
,BTJ,0,,,,,1,,,,,4,,2,11,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,28.25,1,2,10,2014
,BTJ,0,,,,,1,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,138.3333333,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,0,,,1,1,1,,,,,63.33333333,0,2,10,2014
,BTJ,1,,,1,1,1,,,,,33.75,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,46.66666667,1,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,1,,,,,1,,,,,55,1,2,10,2014
,BTJ,0,,,,,1,,,,,,,2,10,2014
,BTJ,0,,,1,1,1,,,,,8.666666667,,2,10,2014
,BTJ,1,,,1,1,1,,,,,50,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,126,1,2,11,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,30,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,250,1,2,10,2014
,BTJ,1,,,,,1,,,,,62.5,1,2,10,2014
,BTJ,0,,,0,,1,,,,,7.5,,2,10,2014
,BTJ,1,,,0,,1,,,,,51,1,2,11,2014
,BTJ,1,,,0,,1,,,,,150,1,2,10,2014
,BTJ,1,,,0,,1,,,,,56.66666667,1,2,11,2014
,BTJ,1,,,0,,1,,,,,350,1,2,11,2014
,BTJ,0,,,,,0,,,,,,,2,11,2014
,BTJ,0,,,0,,1,,,,,6.666666667,,2,10,2014
,BTJ,1,,,0,,1,,,,,350,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,1,1,1,,,,,8,,2,10,2014
,BTJ,1,,,,,1,,,,,35.91666667,1,2,10,2014
,BTJ,0,,,0,,1,,,,3,,,2,10,2014
,BTJ,0,,,0,,1,,,,9,9,,2,11,2014
,BTJ,1,,,0,,1,,,,,43,1,2,10,2014
,BTJ,1,1,,1,1,1,,3,3,,45.83333206,1,2,3,2015
,BTJ,1,,,0,,1,,,,10,170,1,2,10,2014
,BTJ,1,,,,,1,,,,,45.41666667,1,2,10,2014
,BTJ,0,,,,,1,,,,,,,2,11,2014
,BTJ,1,,,0,,1,,,,,35,1,2,10,2014
,BTJ,0,,,0,,1,,,,,50,0,2,11,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
