id,program,i102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,Zomba 3,80020352,6,232,7.733333,0.7758621,3.879311,3,9,05-Sep-16,25-Apr-17,4,2017,3
,Zomba 3,80020353,24,620,20.66667,1.16129,5.806452,15,34,29-Sep-15,22may2017,5,2017,3
,Zomba 3,80020354,14,490,16.33333,0.8571428,4.285714,5,16,23-Feb-16,27-Jun-17,6,2017,3
,Zomba 3,80020355,14,620,20.66667,0.6774194,3.387097,8,18,09-Nov-15,21-Jul-17,7,2017,3
,Zomba 3,80020356,5,462,15.4,0.3246753,1.623377,3,9,18mar2016,23-Jun-17,6,2017,3
,Zomba 3,80020357,11,393,13.1,0.8396946,4.198473,5,13,04-Apr-16,02may2017,5,2017,3
,Zomba 3,80020358,25,528,17.6,1.420455,7.102273,14,30,22-Feb-16,19-Jul-17,7,2017,3
,Zomba 3,80020359,21,496,16.53333,1.270161,6.350806,14,29,15mar2016,19-Jun-17,6,2017,3
,Zomba 3,80020360,41,741,24.7,1.659919,8.299595,20,50,15-Sep-15,16-Aug-17,8,2017,3
,Zomba 3,80020362,42,681,22.7,1.85022,9.251101,18,48,23-Sep-15,27-Jul-17,7,2017,3
,Zomba 3,80020363,7,423,14.1,0.4964539,2.482269,5,10,08-Feb-16,06-Apr-17,4,2017,3
,Zomba 3,80020364,22,466,15.53333,1.416309,7.081545,9,26,22-Feb-16,02-Jun-17,6,2017,3
,Zomba 3,80020365,11,416,13.86667,0.7932692,3.966346,4,17,16-Feb-16,07-Apr-17,4,2017,3
,Zomba 3,80020366,16,451,15.03333,1.064301,5.321507,5,20,22-Feb-16,18may2017,5,2017,3
,Zomba 3,80020367,65,714,23.8,2.731092,13.65546,20,75,17-Sep-15,28-Jul-17,7,2017,3
,Zomba 3,80020368,21,495,16.5,1.272727,6.363636,12,26,23-Feb-16,27-Jun-17,6,2017,3
,Zomba 3,80020369,16,587,19.56667,0.8177172,4.088586,5,20,15-Sep-15,24-Apr-17,4,2017,3
,Zomba 3,80020370,20,629,20.96667,0.953895,4.769475,10,22,22-Sep-15,12-Jun-17,6,2017,3
,Zomba 3,80020371,21,665,22.16667,0.9473684,4.736842,10,24,22-Sep-15,18-Jul-17,7,2017,3
,Zomba 3,80020372,7,477,15.9,0.4402516,2.201258,4,9,17-Feb-16,08-Jun-17,6,2017,3
,Zomba 3,80020373,12,532,17.73333,0.6766917,3.383459,7,15,11mar2016,25-Aug-17,8,2017,3
,Zomba 3,80020374,4,144,4.8,0.8333333,4.166667,2,6,01-Sep-16,23-Jan-17,1,2017,3
,Zomba 3,80020375,4,439,14.63333,0.2733485,1.366743,3,7,18mar2016,31may2017,5,2017,3
,Zomba 3,80020376,26,699,23.3,1.11588,5.5794,13,28,18-Sep-15,17-Aug-17,8,2017,3
,Zomba 3,80020377,32,708,23.6,1.355932,6.779661,8,36,15-Sep-15,23-Aug-17,8,2017,3
,Zomba 3,80020378,35,504,16.8,2.083333,10.41667,11,40,18mar2016,08-Aug-17,8,2017,3
,Zomba 3,80020379,20,613,20.43333,0.9787928,4.893964,9,23,15-Sep-15,20may2017,5,2017,3
,Zomba 3,80020380,22,527,17.56667,1.252372,6.261859,12,28,11-Jan-16,13-Jun-17,6,2017,3
,Zomba 3,80020381,18,484,16.13333,1.115703,5.578513,10,23,29-Feb-16,30-Jun-17,6,2017,3
,Zomba 3,80020382,8,466,15.53333,0.5150214,2.575107,5,10,08mar2016,17-Jun-17,6,2017,3
,Zomba 3,80020383,28,704,23.46667,1.193182,5.965909,15,32,17-Sep-15,31-Jul-17,7,2017,3
,Zomba 3,80020384,26,688,22.93333,1.133721,5.668605,15,34,21-Sep-15,04-Jul-17,7,2017,3
,Zomba 3,80020385,27,564,18.8,1.43617,7.180851,10,34,17-Feb-16,11-Aug-17,8,2017,3
,Zomba 3,80020386,12,512,17.06667,0.7031249,3.515625,7,14,08mar2016,02-Aug-17,8,2017,3
,Zomba 3,80020387,9,239,7.966667,1.129707,5.648536,4,13,08-Sep-16,05may2017,5,2017,3
,Zomba 3,80020388,34,472,15.73333,2.161017,10.80508,9,41,25-Apr-16,07-Aug-17,8,2017,3
,Zomba 3,80020389,32,481,16.03333,1.995842,9.979211,14,37,17-Feb-16,17-Jun-17,6,2017,3
,Zomba 3,80020390,19,452,15.06667,1.261062,6.305309,8,23,25-Feb-16,22may2017,5,2017,3
,Zomba 3,80020391,13,475,15.83333,0.8210527,4.105263,8,15,04-Feb-16,24may2017,5,2017,3
,Zomba 3,80020392,70,744,24.8,2.822581,14.1129,25,82,22-Sep-15,02-Aug-17,8,2017,3
