ID,vcs201_attendees_total,vcs011_prgrm,year,vcs009_country,vcs014_mtg_date
,88,Manafwa,2014,Uganda,21-Jan-14
,31,Manafwa,2014,Uganda,21-Jan-14
,44,Manafwa,2014,Uganda,21-Jan-14
,32,Manafwa,2014,Uganda,21-Jan-14
,34,Manafwa,2014,Uganda,21-Jan-14
,51,Manafwa,2014,Uganda,21-Jan-14
,46,Manafwa,2014,Uganda,21-Jan-14
,47,Manafwa,2014,Uganda,21-Jan-14
,31,Manafwa,2014,Uganda,21-Jan-14
,34,Manafwa,2014,Uganda,21-Jan-14
,74,Manafwa,2014,Uganda,21-Jan-14
,29,Manafwa,2014,Uganda,21-Jan-14
,41,Manafwa,2014,Uganda,21-Jan-14
,37,Manafwa,2014,Uganda,21-Jan-14
,38,Manafwa,2014,Uganda,21-Jan-14
,60,Manafwa,2014,Uganda,21-Jan-14
,49,Manafwa,2014,Uganda,21-Jan-14
,72,Manafwa,2014,Uganda,21-Jan-14
,48,Manafwa,2014,Uganda,21-Jan-14
,53,Manafwa,2014,Uganda,21-Jan-14
,68,Manafwa,2014,Uganda,21-Jan-14
,31,Manafwa,2014,Uganda,21-Jan-14
,23,Manafwa,2014,Uganda,21-Jan-14
,70,Manafwa,2014,Uganda,21-Jan-14
,36,Manafwa,2014,Uganda,21-Jan-14
,36,Manafwa,2014,Uganda,21-Jan-14
,40,Manafwa,2014,Uganda,21-Jan-14
,60,Manafwa,2014,Uganda,21-Jan-14
,41,Manafwa,2014,Uganda,21-Jan-14
,44,Manafwa,2014,Uganda,21-Jan-14
,46,Manafwa,2014,Uganda,21-Jan-14
,34,Manafwa,2014,Uganda,21-Jan-14
,97,Manafwa,2014,Uganda,21-Jan-14
,43,Manafwa,2014,Uganda,21-Jan-14
,67,Manafwa,2014,Uganda,21-Jan-14
,66,Manafwa,2014,Uganda,21-Jan-14
,33,Manafwa,2014,Uganda,21-Jan-14
,38,Manafwa,2014,Uganda,21-Jan-14
,71,Manafwa,2014,Uganda,21-Jan-14
