ID,cem301_attendees_total,month,year,country
,68,2,2014,2
,49,2,2014,2
,50,2,2014,2
,68,2,2014,2
,80,2,2014,2
,60,2,2014,2
,23,2,2014,2
,68,2,2014,2
,55,2,2014,2
,46,2,2014,2
,76,2,2014,2
,65,2,2014,2
,20,2,2014,2
,51,2,2014,2
,77,2,2014,2
,42,2,2014,2
,59,2,2014,2
,56,2,2014,2
,18,2,2014,2
,36,2,2014,2
,63,2,2014,2
,38,2,2014,2
,59,2,2014,2
,52,2,2014,2
,60,2,2014,2
,46,2,2014,2
,36,2,2014,2
,60,2,2014,2
,64,2,2014,2
,85,2,2014,2
,36,2,2014,2
,32,2,2014,2
,66,2,2014,2
,25,2,2014,2
,69,2,2014,2
,70,2,2014,2
,56,2,2014,2
,29,2,2014,2
,53,2,2014,2
,26,2,2014,2
,56,2,2014,2
,23,2,2014,2
,49,2,2014,2
,77,2,2014,2
,29,2,2014,2
,56,2,2014,2
,58,2,2014,2
,40,2,2014,2
,55,2,2014,2
,35,2,2014,2
,58,2,2014,2
,52,2,2014,2
,49,2,2014,2
,47,2,2014,2
,79,2,2014,2
,66,2,2014,2
,34,2,2014,2
,49,2,2014,2
,34,2,2014,2
,47,2,2014,2
,84,2,2014,2
,50,2,2014,2
,110,2,2014,2
,63,2,2014,2
,78,2,2014,2
,56,2,2014,2
,38,2,2014,2
,21,2,2014,2
,44,2,2014,2
,65,2,2014,2
,46,2,2014,2
,70,2,2014,2
,44,2,2014,2
,66,2,2014,2
,52,2,2014,2
,41,2,2014,2
,38,2,2014,2
,68,2,2014,2
,47,2,2014,2
,117,2,2014,2
,69,2,2014,2
,61,2,2014,2
,47,2,2014,2
,49,2,2014,2
,63,2,2014,2
,30,2,2014,2
,50,2,2014,2
,46,2,2014,2
,70,2,2014,2
,34,2,2014,2
,79,2,2014,2
,22,2,2014,2
,49,2,2014,2
,60,2,2014,2
,28,2,2014,2
,38,2,2014,2
,27,2,2014,2
,53,2,2014,2
,56,2,2014,2
,28,2,2014,2
,72,2,2014,2
,35,2,2014,2
,28,2,2014,2
,65,2,2014,2
,42,2,2014,2
,35,2,2014,2
,50,2,2014,2
,48,2,2014,2
,44,2,2014,2
,70,2,2014,2
,47,2,2014,2
,65,2,2014,2
,30,2,2014,2
,42,2,2014,2
,38,2,2014,2
,40,2,2014,2
,66,2,2014,2
,65,2,2014,2
,67,2,2014,2
,62,2,2014,2
,58,2,2014,2
,54,2,2014,2
,49,2,2014,2
,59,2,2014,2
,38,2,2014,2
,49,2,2014,2
,77,2,2014,2
,79,2,2014,2
,57,2,2014,2
,72,2,2014,2
,52,2,2014,2
,71,2,2014,2
,32,2,2014,2
,29,2,2014,2
,20,2,2014,2
,25,2,2014,2
,22,2,2014,2
,57,2,2014,2
,35,2,2014,2
,57,2,2014,2
,35,2,2014,2
,28,2,2014,2
