id,cem301_attendees_total,program,month,year,country,cem005_today
,27,Zomba 4,12,2014,3,16dec2014
,25,Zomba 4,12,2014,3,16dec2014
,29,Zomba 3,12,2014,3,16dec2014
,140,Zomba 4,12,2014,3,16dec2014
,35,Zomba 4,12,2014,3,16dec2014
,28,Zomba 4,12,2014,3,16dec2014
,18,Zomba 3,12,2014,3,16dec2014
,26,Zomba 4,12,2014,3,16dec2014
,70,Zomba 4,12,2014,3,16dec2014
,14,Zomba 3,12,2014,3,16dec2014
,22,Zomba 3,12,2014,3,16dec2014
,200,Zomba 4,12,2014,3,16dec2014
,18,Zomba 4,12,2014,3,16dec2014
,50,Zomba 4,12,2014,3,16dec2014
,9,Zomba 3,12,2014,3,16dec2014
,22,Zomba 3,12,2014,3,16dec2014
,79,Zomba 4,12,2014,3,16dec2014
,25,Zomba 4,12,2014,3,16dec2014
,16,Zomba 3,12,2014,3,16dec2014
,126,Zomba 4,12,2014,3,16dec2014
,250,Zomba 4,12,2014,3,16dec2014
,28,Zomba 3,12,2014,3,16dec2014
,40,Zomba 4,12,2014,3,16dec2014
,25,Zomba 3,12,2014,3,16dec2014
,24,Zomba 3,12,2014,3,16dec2014
,33,Zomba 3,12,2014,3,16dec2014
,11,Zomba 3,12,2014,3,16dec2014
,12,Zomba 3,12,2014,3,16dec2014
,80,Zomba 4,12,2014,3,17dec2014
,25,Zomba 4,12,2014,3,17dec2014
,30,Zomba 3,12,2014,3,17dec2014
,25,Zomba 3,12,2014,3,17dec2014
,62,Zomba 4,12,2014,3,17dec2014
,24,Zomba 4,12,2014,3,17dec2014
,35,Zomba 4,12,2014,3,17dec2014
,33,Zomba 4,12,2014,3,17dec2014
,34,Zomba 4,12,2014,3,17dec2014
,60,Zomba 3,12,2014,3,17dec2014
,40,Zomba 3,12,2014,3,17dec2014
,64,Zomba 4,12,2014,3,17dec2014
,60,Zomba 3,12,2014,3,17dec2014
,85,Zomba 4,12,2014,3,17dec2014
,23,Zomba 4,12,2014,3,17dec2014
,21,Zomba 4,12,2014,3,17dec2014
,46,Zomba 4,12,2014,3,17dec2014
,20,Zomba 4,12,2014,3,17dec2014
,96,Zomba 3,12,2014,3,17dec2014
,58,Zomba 3,12,2014,3,17dec2014
,15,Zomba 4,12,2014,3,17dec2014
,12,Zomba 3,12,2014,3,17dec2014
,100,Zomba 4,12,2014,3,17dec2014
,14,Zomba 3,12,2014,3,17dec2014
,15,Zomba 3,12,2014,3,17dec2014
,76,Zomba 3,12,2014,3,17dec2014
,52,Zomba 4,12,2014,3,17dec2014
,41,Zomba 4,12,2014,3,17dec2014
,26,Zomba 3,12,2014,3,17dec2014
,24,Zomba 4,12,2014,3,17dec2014
,40,Zomba 4,12,2014,3,18dec2014
,90,Zomba 4,12,2014,3,18dec2014
,58,Zomba 3,12,2014,3,18dec2014
,150,Zomba 4,12,2014,3,18dec2014
,24,Zomba 4,12,2014,3,18dec2014
,70,Zomba 3,12,2014,3,18dec2014
,15,Zomba 4,12,2014,3,18dec2014
,32,Zomba 4,12,2014,3,18dec2014
,55,Zomba 3,12,2014,3,18dec2014
,11,Zomba 4,12,2014,3,18dec2014
,20,Zomba 3,12,2014,3,18dec2014
,150,Zomba 4,12,2014,3,18dec2014
,80,Zomba 3,12,2014,3,18dec2014
,46,Zomba 4,12,2014,3,18dec2014
,17,Zomba 4,12,2014,3,18dec2014
,44,Zomba 3,12,2014,3,18dec2014
,47,Zomba 4,12,2014,3,18dec2014
,42,Zomba 3,12,2014,3,18dec2014
,16,Zomba 3,12,2014,3,18dec2014
,15,Zomba 3,12,2014,3,18dec2014
,53,Zomba 3,12,2014,3,18dec2014
,32,Zomba 4,12,2014,3,18dec2014
,10,Zomba 4,12,2014,3,18dec2014
,27,Zomba 4,12,2014,3,18dec2014
,49,Zomba 3,12,2014,3,18dec2014
,65,Zomba 3,12,2014,3,18dec2014
,10,Zomba 4,12,2014,3,18dec2014
,82,Zomba 3,12,2014,3,18dec2014
,47,Zomba 4,12,2014,3,18dec2014
,78,Zomba 3,12,2014,3,18dec2014
,15,Zomba 4,12,2014,3,19dec2014
,200,Zomba 4,12,2014,3,19dec2014
,15,Zomba 3,12,2014,3,19dec2014
,16,Zomba 4,12,2014,3,19dec2014
,50,Zomba 4,12,2014,3,19dec2014
,12,Zomba 4,12,2014,3,19dec2014
,46,Zomba 3,12,2014,3,19dec2014
,28,Zomba 3,12,2014,3,19dec2014
,26,Zomba 3,12,2014,3,19dec2014
,45,Zomba 3,12,2014,3,19dec2014
,30,Zomba 4,12,2014,3,19dec2014
,29,Zomba 3,12,2014,3,19dec2014
,31,Zomba 3,12,2014,3,19dec2014
,37,Zomba 3,12,2014,3,19dec2014
,27,Zomba 3,12,2014,3,19dec2014
,11,Zomba 4,12,2014,3,19dec2014
,20,Zomba 4,12,2014,3,20dec2014
,25,Zomba 4,12,2014,3,20dec2014
,25,Zomba 4,12,2014,3,20dec2014
,14,Zomba 3,12,2014,3,20dec2014
,15,Zomba 4,12,2014,3,20dec2014
,30,Zomba 3,12,2014,3,21dec2014
,28,Zomba 3,12,2014,3,21dec2014
,22,Zomba 3,12,2014,3,21dec2014
,45,Zomba 3,12,2014,3,21dec2014
,23,Zomba 3,12,2014,3,21dec2014
,40,Zomba 3,12,2014,3,21dec2014
,38,Zomba 3,12,2014,3,21dec2014
,60,Zomba 3,12,2014,3,21dec2014
,52,Zomba 3,12,2014,3,21dec2014
,21,Zomba 3,12,2014,3,21dec2014
,30,Zomba 3,12,2014,3,21dec2014
,60,Zomba 3,12,2014,3,21dec2014
,50,Zomba 3,12,2014,3,21dec2014
,26,Zomba 3,12,2014,3,21dec2014
,89,Zomba 3,12,2014,3,21dec2014
,103,Zomba 3,12,2014,3,22dec2014
,36,Zomba 4,12,2014,3,23dec2014
,42,Zomba 4,12,2014,3,23dec2014
,44,Zomba 4,12,2014,3,23dec2014
,34,Zomba 4,12,2014,3,23dec2014
,11,Zomba 3,12,2014,3,29dec2014
,32,Zomba 4,12,2014,3,29dec2014
,22,Zomba 4,12,2014,3,29dec2014
,12,Zomba 3,12,2014,3,29dec2014
,104,Zomba 3,1,2015,3,16-Jan-15
,37,Zomba 3,1,2015,3,16-Jan-15
,75,Zomba 3,1,2015,3,16-Jan-15
,85,Zomba 3,1,2015,3,16-Jan-15
,60,Zomba 3,1,2015,3,16-Jan-15
,16,Zomba 4,2,2015,3,25-Feb-15
,18,Zomba 4,3,2015,3,02mar2015
,114,Zomba 4,3,2015,3,02mar2015
