id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,month,year
,Zomba 7,,,,0,,1,,3,3,,30,1,3,7,2015
,Zomba 4,,,,1,1,1,,3,3,,26,1,3,10,2014
,Zomba 7,,,,0,,1,,3,3,,10,1,3,7,2015
,Zomba 3,,,,1,1,1,,3,3,,67,1,3,9,2014
,Zomba 5,,,,1,1,1,,3,3,,95,1,3,4,2015
,Zomba 7,,,,0,,1,,3,3,,108.3333333,1,3,8,2015
,Zomba 4,,,,1,1,1,,3,3,,16,Don't know,3,3,2015
,Zomba 5,,,,1,1,1,,3,3,,25,1,3,1,2016
,Zomba 7,,,,1,1,1,,3,3,,65,1,3,8,2015
,Zomba 7,,,,1,1,1,,3,3,,39.33333333,1,3,7,2015
,Zomba 4,,,1,,,1,,3,3,,18,1,3,2,2016
,Zomba 4,,,,1,1,1,,3,3,,17,1,3,9,2015
,Zomba 5,,,,1,1,1,,3,3,,250,1,3,4,2015
,Zomba 3,,,,1,1,1,,3,3,,30.66666667,1,3,9,2014
,Zomba 4,,,,1,1,1,,3,3,,10,1,3,9,2014
,Zomba 2,1,,1,,,1,,1,3,,,,3,1,2014
,Zomba 1_2,1,,,,,,,,,,,,3,1,2014
,Zomba 7,,,,1,1,1,,3,3,,40,1,3,7,2015
,Zomba 7,,,,0,,1,,3,3,,68.75,1,3,8,2015
,Zomba 5,,,,1,1,1,,3,3,,30,1,3,4,2015
,Zomba 3,,,,1,1,1,,3,3,,38.33333333,1,3,8,2014
,Zomba 6,,,1,,,1,,3,3,,15.83333333,1,3,9,2015
,Zomba 5,,,,1,1,1,,3,3,,51.66666667,1,3,2,2015
,Zomba 5,,,,1,1,1,,3,3,,105,1,3,8,2015
,Zomba 5,,1,,0,,1,,3,3,,21.66666667,1,3,2,2015
,Zomba 5,,,,0,,1,,3,3,,40,1,3,2,2015
,Zomba 3,,,,0,,1,,3,3,,59.33333333,1,3,9,2014
,Zomba 7,,,,1,1,1,,3,3,,28,1,3,7,2015
,Zomba 6,,,,1,1,1,,3,3,,22,1,3,4,2015
,Zomba 2,1,,1,,,1,,1,3,,,,3,1,2014
