ID,t101a_wpt_verifn_id,t011_prgrm,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year,t005_today
,4641415615,TNZ,,,,0,,1,,3,3,,27,1,1,2,2015,25-Feb-15
,4641415616,TNZ,1,,,,,0,,,,,,,1,2,2015,25-Feb-15
,5739416004,KKM2,,,,1,1,1,,3,3,,10,1,1,8,2014,19-Aug-14
,4641415613,TNZ,1,,,,,0,,,,,,,1,2,2015,25-Feb-15
,4641415617,TNZ,1,,,,,0,,,,,,,1,2,2015,25-Feb-15
,4641415604,TNZ,1,,1,,,0,,,,,,,1,2,2015,24-Feb-15
,4641415606,TNZ,,,1,,,1,,3,3,,11,1,1,2,2015,24-Feb-15
,4641415610,TNZ,1,,,,,0,,,,,,,1,2,2015,25-Feb-15
,5739416007,KKM2,1,0,,,,,,,,,,,1,8,2014,19-Aug-14
,4641415609,TNZ,1,,,,,0,,,,,,,1,2,2015,24-Feb-15
,4641415612,TNZ,,,,,,1,,3,3,,10,1,1,2,2015,25-Feb-15
,5739416006,KKM2,,,,,,1,,3,3,,16.25,1,1,8,2014,19-Aug-14
,4641415611,TNZ,1,,,,,0,,,,,,,1,2,2015,25-Feb-15
,5739416002,KKM2,,,1,,,1,,3,3,,22.5,1,1,8,2014,19-Aug-14
,6432426505,MGR,,,1,,,1,,3,3,10,22.5,1,1,9,2014,08-Sep-14
,6432426504,MGR,1,,1,,,0,,,,,,,1,9,2014,08-Sep-14
,6432426507,MGR,1,,,1,1,1,,1,2,,,,1,9,2014,08-Sep-14
,6432426508,MGR,1,,,1,1,0,,,,,,,1,9,2014,08-Sep-14
,6432426501,MGR,,,,1,1,1,,3,3,,17,1,1,9,2014,08-Sep-14
,6432426403,MGR,1,,1,,,0,,,,,,,1,9,2014,08-Sep-14
,6432426402,MGR,,,1,,,1,,3,3,,17.5,1,1,9,2014,08-Sep-14
,6432426401,MGR,1,,,1,1,1,,1,3,,,,1,9,2014,08-Sep-14
,6432426404,MGR,,,1,,,1,,3,3,,15,1,1,9,2014,08-Sep-14
,6432426311,MGR,1,,,1,1,1,,1,3,,,,1,9,2014,05-Sep-14
,6432426305,MGR,1,,1,,,1,,3,3,,2,,1,9,2014,05-Sep-14
,6432426301,MGR,1,,,,,1,,1,3,,,,1,9,2014,05-Sep-14
,6432426303,MGR,1,,1,,,1,,3,3,,7,,1,9,2014,05-Sep-14
,6432426304,MGR,1,,1,,,1,,3,3,,5.5,,1,9,2014,05-Sep-14
,6432426202,MGR,,,,1,1,1,,3,3,,27.5,1,1,9,2014,05-Sep-14
,6432426001,MGR,1,,,,,1,,3,3,,8,,1,9,2014,05-Sep-14
,6434425605,MGR,1,,1,,,1,,3,3,,8,,1,9,2014,05-Sep-14
,6432426003,MGR,,,1,,,1,,3,3,,17.5,1,1,9,2014,05-Sep-14
,6432426007,MGR,1,,1,,,1,,3,3,,6.5,,1,9,2014,05-Sep-14
,5746425709,KKM2,1,,,,,1,,3,3,,7,,1,8,2014,27-Aug-14
,5746425704,KKM2,,1,1,,,1,,3,3,,10,1,1,8,2014,26-Aug-14
,5746425707,KKM2,1,,1,,,1,,3,3,,7,,1,8,2014,26-Aug-14
,5746425702,KKM2,,,,,,1,,2,3,,18,1,1,8,2014,26-Aug-14
,5746425705,KKM2,,,1,,,1,,3,3,,12,1,1,8,2014,26-Aug-14
,5746425708,KKM2,1,,,,,1,,3,3,,5,,1,8,2014,27-Aug-14
,5746425706,KKM2,1,,1,,,1,,3,3,,6,,1,8,2014,26-Aug-14
,5746425701,KKM2,,,1,,,1,,3,3,,20,1,1,8,2014,26-Aug-14
,5746425703,KKM2,1,,1,,,1,,3,3,,7,,1,8,2014,26-Aug-14
,5739415304,KKM2,,,,,,1,,3,3,,10.5,1,1,8,2014,20-Aug-14
,5739415302,KKM2,,,,,,1,,3,3,,29.5,1,1,8,2014,20-Aug-14
,5739415303,KKM2,,,,,,1,,3,3,,10,1,1,8,2014,20-Aug-14
,5739415301,KKM2,,,,,,1,,3,3,,21.25,1,1,8,2014,20-Aug-14
,6456435603,MGR,,,1,,,1,1,,,,10,1,1,3,2014,12-Mar-14
,6456435602,MGR,,,1,,,1,1,,,,10,1,1,3,2014,12-Mar-14
,6456435601,MGR,,,,,,1,1,,,,10.75,1,1,3,2014,12-Mar-14
,6456425901,MGR,,,1,,,1,1,,,,16,1,1,3,2014,13-Mar-14
,6455414903,MGR,1,,,,,1,1,,,,4,,1,3,2014,28-Mar-14
,6455414909,MGR,1,,,,,1,1,,,,5,,1,3,2014,28-Mar-14
,6455414906,MGR,1,,,,,1,1,,,,4,,1,3,2014,28-Mar-14
,6455415003,MGR,1,0,,,,,,,,,,,1,3,2014,28-Mar-14
,6455414902,MGR,1,,,,,1,1,,,,5,,1,3,2014,28-Mar-14
,6455415001,MGR,1,,1,,,0,,,,,,,1,3,2014,28-Mar-14
,6446415903,MGR,,,,1,1,1,,3,3,,41.66666667,1,1,8,2014,21-Aug-14
,6455415005,MGR,1,,,0,,1,1,,,,3,,1,3,2014,28-Mar-14
,6455415004,MGR,,,1,,,1,1,,,,10.33333333,1,1,3,2014,28-Mar-14
,6455414901,MGR,,,,,,1,1,,,,11,1,1,3,2014,28-Mar-14
