s102_wpt_id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
"10210736","","1","","","11","",3,2013,"1","UJA"
"10210398","","0","","","","",3,2013,"1","UJA"
"10210288","","1","","","11","",3,2013,"1","UJA"
"10211148","","1","","","11","",3,2013,"1","UJA"
"10210322","","0","","","","",3,2013,"1","UJA"
"10210341","","0","","","","",3,2013,"1","UJA"
"10210627","","0","","","","",3,2013,"1","UJA"
"10210295","","0","","","","",3,2013,"1","UJA"
"10210614","","0","","","","",3,2013,"1","UJA"
"10210300","","0","","","","",3,2013,"1","UJA"
"10210280","","0","","","","",3,2013,"1","UJA"
"10210271","","1","","","11","",3,2013,"1","UJA"
"10210299","","0","","","","",3,2013,"1","UJA"
"10210316","","0","","","","",3,2013,"1","UJA"
"10210296","","0","","","","",3,2013,"1","UJA"
"10210303","","0","","","","",3,2013,"1","UJA"
"10210305","","1","","","11","",3,2013,"1","UJA"
"10210306","","0","","","","",3,2013,"1","UJA"
"10210307","","0","","","","",3,2013,"1","UJA"
"10210330","","1","","","-996","",3,2013,"1","UJA"
"10210242","","0","","","","",3,2013,"1","UJA"
"10210620","","0","","","","",3,2013,"1","UJA"
"10210339","","0","","","","",3,2013,"1","UJA"
"10210356","","1","","","11","",3,2013,"1","UJA"
"10210318","","0","","","","",3,2013,"1","UJA"
"10210358","","0","","","","",3,2013,"1","UJA"
"10210326","","0","","","","",3,2013,"1","UJA"
"10210257","","1","","","11","",3,2013,"1","UJA"
"10210343","","1","","","11","",3,2013,"1","UJA"
"10210728","","0","","","","",3,2013,"1","UJA"
"10210575","","1","","","13","",3,2013,"1","UJA"
"10210359","","0","","","","",3,2013,"1","UJA"
"10210283","","0","","","","",3,2013,"1","UJA"
"10210319","","0","","","","",3,2013,"1","UJA"
"10210298","","0","","","","",3,2013,"1","UJA"
"10210301","","0","","","","",3,2013,"1","UJA"
"10210599","","0","","","","",3,2013,"1","UJA"
"10210344","","1","","","11","",3,2013,"1","UJA"
"10211584","","1","","","11","",3,2013,"1","UJA"
"10210302","","0","","","","",3,2013,"1","UJA"
"10210457","","0","","","","",3,2013,"1","UJA"
"10210348","","0","","","","",3,2013,"1","UJA"
"10210469","","0","","","","",3,2013,"1","UJA"
"10210758","","0","","","","",3,2013,"1","UJA"
"10210349","","0","","","","",3,2013,"1","UJA"
"10210290","","0","","","","",3,2013,"1","UJA"
"10210810","","0","","","","",3,2013,"1","UJA"
"10210287","","0","","","","",3,2013,"1","UJA"
"10210804","","0","","","","",3,2013,"1","UJA"
"10211341","","0","","","","",3,2013,"1","UJA"
"10210345","","0","","","","",3,2013,"1","UJA"
"10211342","","0","","","","",3,2013,"1","UJA"
"10210352","","0","","","","",3,2013,"1","UJA"
"10210336","","0","","","","",3,2013,"1","UJA"
"10211344","","0","","","","",3,2013,"1","UJA"
"10211350","","0","","","","",3,2013,"1","UJA"
"10210347","","0","","","","",3,2013,"1","UJA"
"10210346","","0","","","","",3,2013,"1","UJA"
"10210304","","0","","","","",3,2013,"1","UJA"
"10210809","","0","","","","",3,2013,"1","UJA"
"10210297","","0","","","","",3,2013,"1","UJA"
"10210464","","0","","","","",3,2013,"1","UJA"
"10211189","","1","","","11","",3,2013,"1","UJA"
"10211606","","0","","","","",3,2013,"1","UJA"
"10211586","","0","","","","",3,2013,"1","UJA"
"10210313","","0","","","","",3,2013,"1","UJA"
"10211343","","0","","","","",3,2013,"1","UJA"
"10210264","","1","","","-996","",3,2013,"1","UJA"
"10210286","","0","","","","",3,2013,"1","UJA"
"10210338","","0","","","","",3,2013,"1","UJA"
"10211178","","0","","","","",3,2013,"1","UJA"
"10211169","","0","","","","",3,2013,"1","UJA"
"10210753","","1","","","11","",3,2013,"1","UJA"
"10210274","","0","","","","",3,2013,"1","UJA"
"10210292","","0","","","","",3,2013,"1","UJA"
"10210324","","0","","","","",3,2013,"1","UJA"
"10210310","","0","","","","",3,2013,"1","UJA"
"10211179","","1","","","11","",3,2013,"1","UJA"
"10211213","","1","","","11","",3,2013,"1","UJA"
"10211340","","0","","","","",3,2013,"1","UJA"
"10210329","","0","","","","",3,2013,"1","UJA"
"10210325","","0","","","","",3,2013,"1","UJA"
"10210815","","0","","","","",3,2013,"1","UJA"
"10210821","","0","","","","",3,2013,"1","UJA"
"10210829","","0","","","","",3,2013,"1","UJA"
"10210805","","0","","","","",3,2013,"1","UJA"
"10210820","","0","","","","",3,2013,"1","UJA"
"10210350","","1","","","11","",3,2013,"1","UJA"
"10210351","","0","","","","",3,2013,"1","UJA"
"10210319","","0","","","","",3,2013,"1","UJA"
"10210811","","0","","","","",3,2013,"1","UJA"
