id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,t005_today
,Zomba 3,,,,,,1,,3,3,,62,1,3,13-Sep-14
,Zomba 3,,,,,,1,,3,3,,140,1,3,13-Sep-14
,Zomba 3,,,,,,1,,3,3,,73,1,3,13-Sep-14
,Zomba 3,,,,,,1,,3,3,,80,1,3,13-Sep-14
,Zomba 3,,,,,,1,,3,3,,105,1,3,13-Sep-14
,Zomba 3,,,,,,1,,3,3,,56,1,3,13-Sep-14
,Zomba 3,,,,,,1,,3,3,,42,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,35,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,46,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,67,1,3,16-Sep-14
,Zomba 3,,,,,,1,,3,3,,100,1,3,16-Sep-14
,Zomba 3,,,,,,1,,3,3,,152,1,3,10-Sep-14
,Zomba 3,,,,,,1,,3,3,,45,1,3,10-Sep-14
,Zomba 3,,,,,,1,,3,3,,36,1,3,10-Sep-14
,Zomba 3,,,,,,1,,3,3,,78,1,3,12-Sep-14
,Zomba 3,1,,,,,1,,1,1,,,,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,40,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,84,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,81,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,130.3333,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,26.33333,1,3,11-Sep-14
,Zomba 3,1,,,,,0,,,,,,,3,11-Sep-14
,Zomba 3,,,1,,,1,,3,3,,24.75,1,3,11-Sep-14
,Zomba 3,,,1,,,1,,3,3,,20,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,95,1,3,11-Sep-14
,Zomba 3,,1,,,,1,,3,3,,83.33334,1,3,10-Sep-14
,Zomba 3,,,,,,1,,3,3,,86.66666,1,3,13-Sep-14
,Zomba 3,,,,,,1,,3,3,,30.66667,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,133.3333,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,16.58333,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,55,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,70,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,65,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,90,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,103,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,77,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,64,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,36,1,3,13-Sep-14
,Zomba 3,,,,,,1,,3,3,,116,1,3,13-Sep-14
,Zomba 3,,,,,,1,,3,3,,60,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,60,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,61.66667,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,23.75,1,3,09-Sep-14
,Zomba 3,,,,,,1,,3,3,,20.83333,1,3,09-Sep-14
,Zomba 3,,,,,,1,,3,3,,95,1,3,10-Sep-14
,Zomba 3,,,,,,1,,3,3,,31.66667,1,3,10-Sep-14
,Zomba 3,,,,,,1,,3,3,,32.33333,1,3,15-Sep-14
,Zomba 3,,,,,,1,,3,3,,130,1,3,29-Sep-14
,Zomba 3,,,,,,1,,3,3,,200,1,3,29-Sep-14
,Zomba 3,,,,,,1,,3,3,,135,1,3,29-Sep-14
,Zomba 3,,,1,,,1,,3,3,,70,1,3,29-Sep-14
,Zomba 3,1,0,,,,,,,,,,,3,21-Sep-14
,Zomba 3,,1,,,,1,,3,3,,207.5,1,3,26-Sep-14
