id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country,cem005_today
,25,One Acre Fund,11,2011,1,10may2013
,21,One Acre Fund,12,2011,1,17may2013
,16,One Acre Fund,11,2011,1,26-Jun-13
,46,One Acre Fund,11,2011,1,06may2013
,19,One Acre Fund,11,2011,1,14may2013
,30,One Acre Fund,11,2011,1,16may2013
,18,One Acre Fund,11,2011,1,06may2013
,24,One Acre Fund,12,2011,1,07may2013
,20,One Acre Fund,11,2011,1,08may2013
,26,One Acre Fund,12,2011,1,11may2013
,16,One Acre Fund,11,2011,1,26-Jun-13
,16,One Acre Fund,11,2011,1,13may2013
,32,One Acre Fund,11,2011,1,08may2013
,41,One Acre Fund,11,2011,1,06may2013
,31,One Acre Fund,12,2011,1,17may2013
,32,One Acre Fund,11,2011,1,10may2013
,24,One Acre Fund,11,2011,1,27may2013
,28,One Acre Fund,12,2011,1,27may2013
,25,One Acre Fund,11,2011,1,27may2013
,31,One Acre Fund,11,2011,1,27may2013
,27,One Acre Fund,11,2011,1,27may2013
,17,One Acre Fund,11,2011,1,02-Aug-13
,21,One Acre Fund,12,2011,1,27may2013
,26,One Acre Fund,11,2011,1,26may2013
,23,One Acre Fund,11,2011,1,03-Jun-13
,26,One Acre Fund,11,2011,1,27may2013
,19,One Acre Fund,11,2011,1,26may2013
,26,One Acre Fund,10,2011,1,27may2013
,23,One Acre Fund,11,2011,1,06may2013
,22,One Acre Fund,11,2011,1,15may2013
,20,One Acre Fund,11,2011,1,10may2013
,24,One Acre Fund,11,2011,1,10may2013
,28,One Acre Fund,11,2011,1,14may2013
,18,One Acre Fund,11,2011,1,13may2013
,24,One Acre Fund,11,2011,1,06may2013
,33,One Acre Fund,11,2011,1,14may2013
,17,One Acre Fund,11,2011,1,08may2013
,32,One Acre Fund,11,2011,1,14may2013
,31,One Acre Fund,11,2011,1,08may2013
,20,One Acre Fund,11,2011,1,08may2013
,20,One Acre Fund,11,2011,1,28may2013
,26,One Acre Fund,11,2011,1,28may2013
,26,One Acre Fund,11,2011,1,29may2013
,20,One Acre Fund,11,2011,1,03-Jun-13
,21,One Acre Fund,11,2011,1,03-Jun-13
,28,One Acre Fund,11,2011,1,04-Jun-13
,22,One Acre Fund,11,2011,1,06-Jun-13
,22,One Acre Fund,12,2011,1,31-Jul-13
,20,One Acre Fund,11,2011,1,01-Jul-13
,49,One Acre Fund,12,2011,1,01-Jul-13
,43,One Acre Fund,11,2011,1,01-Jul-13
,23,One Acre Fund,12,2011,1,01-Jul-13
,20,One Acre Fund,11,2011,1,01-Jul-13
,18,One Acre Fund,10,2011,1,09-Jul-13
,35,One Acre Fund,11,2011,1,29-Jun-13
,31,One Acre Fund,10,2011,1,01-Jul-13
,15,One Acre Fund,11,2011,1,01-Jul-13
