id,cem011_prgrm,cem301_attendees_total,cem009_country,month,year,cem005_today
,Once Acre Fund,19,1,6,2013,19-Jun-13
,Once Acre Fund,20,1,6,2013,19-Jun-13
,Once Acre Fund,19,1,6,2013,19-Jun-13
,Once Acre Fund,24,1,6,2013,19-Jun-13
,Once Acre Fund,21,1,6,2013,19-Jun-13
,Once Acre Fund,17,1,6,2013,19-Jun-13
,Once Acre Fund,20,1,6,2013,19-Jun-13
,Once Acre Fund,20,1,6,2013,19-Jun-13
,Once Acre Fund,28,1,6,2013,19-Jun-13
,Once Acre Fund,18,1,6,2013,19-Jun-13
,Kakamega,23,1,6,2013,19-Jun-13
,Once Acre Fund,32,1,6,2013,19-Jun-13
,Once Acre Fund,17,1,6,2013,19-Jun-13
,Once Acre Fund,30,1,6,2013,19-Jun-13
,Once Acre Fund,23,1,6,2013,19-Jun-13
,Once Acre Fund,21,1,6,2013,20-Jun-13
,Once Acre Fund,25,1,6,2013,20-Jun-13
,Once Acre Fund,24,1,6,2013,20-Jun-13
,Once Acre Fund,21,1,6,2013,20-Jun-13
,Once Acre Fund,17,1,6,2013,20-Jun-13
,Once Acre Fund,19,1,6,2013,20-Jun-13
,Once Acre Fund,21,1,6,2013,20-Jun-13
